x,y,R_c,V_target
141.799,215.885,0.1364484363041517,0.0
134.823,216.984,16.999090591740103,11.11111111111111
127.713,218.19,18.008483824654004,10.296104353413346
120.587,219.523,526198789549.6355,11.11111111111111
113.421,220.905,15.236503071847794,11.11111111111111
106.184,222.308,15.477374187975546,10.448830448187842
98.8672,223.749,15.964816047711471,11.11111111111111
91.4527,225.231,820.0163025353166,11.73478895166182
83.9211,226.766,829.3661827745284,11.11111111111111
76.2706,228.381,17.27704413250071,11.11111111111111
68.5071,230.079,570037244736.268,9.3923262349428
60.6447,231.884,18.828283629850404,11.11111111111111
52.7216,233.9,19.453938334165645,11.11111111111111
44.7585,236.118,19.436388674358746,11.11111111111111
36.7317,238.451,21.08666730137508,12.022366935171954
28.6454,240.928,660.760710879939,14.697232276806297
20.5405,243.654,21.04053610678224,14.697232276806297
12.4069,246.604,22.4505553064364,14.697232276806297
4.20411,249.685,2036.9924944459265,14.697232276806297
-4.07164,252.823,6133.167465533015,14.697232276806297
-12.3539,255.963,625.2558318774924,14.697232276806297
-20.7717,259.141,27830081657646.94,14.697232276806297
-29.2879,262.346,23.922026722159767,14.697232276806297
-37.8942,265.579,675.4565102645662,14.697232276806297
-46.5762,268.841,inf,14.697232276806297
-55.3083,272.12,931363223471.8168,14.697232276806297
-64.0772,275.396,26.010437027617154,14.697232276806297
-72.8373,278.641,25.60583100051405,14.697232276806297
-81.5319,281.792,885500001049.319,14.697232276806297
-90.1755,284.753,736.0182418817883,14.697232276806297
-98.7857,287.45,23.27464783550325,19.799958869316136
-107.359,289.87,17.769182315732508,11.298939417734244
-115.882,292.06,17.569632835820716,11.1591123856095
-124.368,293.899,369391803367.7432,12.884009377794634
-132.805,295.254,560641958131.6938,12.309765788609557
-141.168,296.089,267.750932203094,11.25510564473078
-149.442,296.498,18.33656024093204,11.11111111111111
-157.65,296.627,775091472497.3485,11.25510564473078
-165.797,296.437,18.28866084674126,11.11111111111111
-173.864,295.819,523557424684.7311,11.1591123856095
-181.87,294.807,18.26267139843212,11.11111111111111
-189.844,293.507,18.524045705455432,11.11111111111111
-197.792,291.973,18.57083026063152,11.11111111111111
-205.649,290.174,18.50910622442924,11.11111111111111
-213.38,288.063,18.5382291076224,11.11111111111111
-220.998,285.633,18.79754997461897,10.99373731972505
-228.483,282.857,47.867026508942985,10.78953786561835
-235.813,279.736,19.31541254365384,10.676599878731226
-243.003,276.327,19.59320742865688,11.11111111111111
-250.094,272.717,41.65287977321061,10.522220803840996
-257.078,268.902,568296782530.7975,10.482665342012575
-263.908,264.822,12.78819130925372,10.423457840865
-270.54,260.449,30.595491759026995,10.789541401554988
-276.932,255.76,95.63553320312283,10.31520136291708
-283.086,250.784,22.60998791841853,10.306098153088636
-289.058,245.623,26.08949224333396,11.501217116861769
-294.948,240.376,23.13903574074096,10.220946997564964
-300.857,235.101,23.651791412063133,12.18875582959533
-306.803,229.795,12.560567608903831,10.33027504005732
-312.792,224.451,24.17020189085293,10.679894136075765
-318.826,219.071,inf,11.639911013551844
-324.917,213.676,222110435886.19217,13.207866215187943
-331.101,208.313,29.05853024520882,10.90747148012906
-337.447,203.097,227961458719.47552,11.145626091994906
-344.003,198.152,80.246820763416,11.617473062882476
-350.784,193.535,13.4875711637774,10.704690775554576
-357.767,189.23,21.76558535476992,11.599081881745889
-364.909,185.163,48.278357372254256,11.24099835724668
-372.169,181.247,21.542157190397774,11.3361320402881
-379.533,177.444,21.59326070401007,11.629735141601568
-387.007,173.763,41.60379763050445,11.351080246000771
-394.592,170.21,550831093590.8408,12.405524876167634
-402.29,166.798,15.1179661493236,11.11111111111111
-410.103,163.54,588956869333.3619,11.926527303722388
-418.022,160.411,15.613150704811943,11.11111111111111
-426.037,157.347,58.35875091785737,12.00829540239812
-434.172,154.285,36.531669004486446,11.1591123856095
-442.449,151.189,63.45597379576088,12.118186663192729
-450.87,148.063,17.72116097524632,11.11111111111111
-459.439,144.921,25.005063738790685,11.6388905419376
-468.152,141.759,71.34423867170426,11.812287578832809
-477.009,138.58,73.9614115700947,12.405524876167634
-486.003,135.376,27.226625750842285,11.6388905419376
-495.131,132.145,79.78788633793191,16.59643475684907
-504.389,128.88,81.58555812195712,16.59643475684907
-513.772,125.573,21.863329153709508,16.59643475684907
-523.277,122.224,86.26147152110805,16.59643475684907
-532.901,118.832,88.12885344949846,16.59643475684907
-542.612,115.409,47.368656580969926,16.59643475684907
-552.015,112.094,inf,19.64433360052945
-560.956,108.941,25.12652591602028,11.926527303722388
-569.437,105.951,34.82591301426911,11.11111111111111
-577.468,103.119,inf,11.54297285055616
-585.063,100.441,18.05456481457104,11.11111111111111
-592.227,97.9159,45.04882113047425,13.457486374270529
-598.969,95.5385,31.60444273550974,13.457486374270529
-605.358,93.2859,378909897408.21405,13.457486374270529
-611.424,91.1469,32.823230071809434,13.457486374270529
-617.149,89.1284,28.93804389202051,19.955718004509144
-622.565,87.2178,92.34273289856264,19.955718004509144
-627.716,85.3979,23.489299611178527,11.557544360482812
-632.603,83.6659,21.283657542242853,11.1591123856095
-637.227,82.0077,25.305927006949545,11.11111111111111
-641.602,80.3987,16.69042722163481,10.567535809771062
-645.79,78.7944,19.00626497263116,9.831247463834265
-649.668,77.1245,8.956078563688854,8.72300656179396
-653.119,75.3359,7.6379110705758,7.460542133590599
-656.151,73.3835,6.812817798173107,6.612800686000876
-658.939,71.2912,5.420557932319056,6.071765042113711
-661.611,69.0376,46.53551322808521,6.0161151233106045
-664.046,66.5133,4.210279188289755,5.730904450989545
-666.168,63.6873,3.941069940171429,5.871007500888519
-667.987,60.5839,3.9786739510429903,5.760645627855619
-669.542,57.2509,4.3287844044496016,5.7137015779571945
-670.836,53.7173,4.233362155439373,5.88990333981328
-671.857,50.0129,4.301343216928251,5.972479572718532
-672.572,46.1544,4.35680362569394,6.0658815002689295
-673.029,42.1683,61698674844.57356,6.339087682327323
-673.321,38.0716,4.824771148562561,6.38162327992624
-673.485,33.871,3557.534423397633,6.654885688702432
-673.398,29.5765,5.283615116035443,6.68527418403216
-672.966,25.2115,73631873702.31746,6.919775836568983
-672.209,20.7877,5.719975092689505,6.971148283280885
-671.273,16.2886,6.288428580576357,7.215970096398279
-670.217,11.7052,262.074347934083,7.3503266474825875
-668.977,7.05682,6.823146119348163,7.613767098485611
-667.494,2.36958,98303733684.20164,7.861793317026601
-665.733,-2.3257,370.061510324901,7.951354232062182
-663.668,-6.8649,251.23172857396872,7.933003680034105
-661.28,-11.1522,7.311281117316247,7.847249758744991
-658.532,-15.2529,8.397020168365335,8.17044868167027
-655.469,-19.1604,108.10997899932048,8.393167050791348
-652.194,-22.9622,106.51847493569257,8.610323148166355
-648.708,-26.6598,9.370594544480014,8.909708905797833
-644.929,-30.1404,12.939903540889116,8.859697089617802
-640.861,-33.3591,11.347048451487773,9.768644586065689
-636.486,-36.2314,44.606809445864414,10.37680570010367
-631.858,-38.7651,101645340913.67313,10.256577759818938
-627.027,-40.9865,19.87668037188105,11.11111111111111
-622.065,-43.0179,43.38719167023674,11.1591123856095
-616.95,-44.7914,85.03324594935732,11.1591123856095
-611.72,-46.2703,42.44028428478703,11.1591123856095
-606.376,-47.3276,21252475059456.12,11.653340341342243
-600.935,-47.8816,62.68163956398849,11.1591123856095
-595.422,-48.0595,92.03358029414332,11.1591123856095
-589.837,-48.0217,3135310519925.1807,11.1591123856095
-584.157,-47.9047,73.25644647030225,11.1591123856095
-578.376,-47.7324,94.26861890054596,11.1591123856095
-572.491,-47.4898,98.34865712619845,11.1591123856095
-566.507,-47.1382,352.6779954378877,11.1591123856095
-560.431,-46.6196,54.06554657068108,11.1591123856095
