x,y,R_c,V_target
141.799,215.885,0.1364484363041517,0.0
141.684,215.903,11.731618825294197,1.0766921170139927
141.57,215.922,11.73161882502601,1.0766921170139927
141.455,215.94,11.73161882502601,1.0766921170139927
141.34,215.958,13.741922660270712,1.0766921170139927
141.225,215.977,13.741922660970037,1.0766921170139927
141.11,215.995,13.741922660970037,1.0766921170139927
140.995,216.013,11.731618825050091,1.0766921170139927
140.881,216.032,10.396362107799476,1.0766921170139927
140.765,216.05,10.396362107799476,1.0766921170139927
140.65,216.068,518829670475.40735,1.0766921170139927
140.535,216.086,13.74192266146862,1.125223646970684
140.42,216.105,13.741922660995344,10.80515501637142
140.305,216.123,13.741922660995344,10.80515501637142
140.189,216.141,88.73575008431901,10.80515501637142
140.074,216.159,13.741922660240968,10.28160618121389
139.959,216.178,11.943960101007972,10.073523962256887
139.843,216.196,11.943960101007972,10.073523962256887
139.728,216.214,88.7357500689869,10.073523962256887
139.612,216.232,571514710794.6609,10.12162054117772
139.496,216.25,13.972866284591642,10.217805256118089
139.38,216.269,16.499527001971764,10.895571208242853
139.265,216.287,16.499527001971764,10.895571208242853
139.149,216.305,3465706994410.8486,10.895571208242853
139.033,216.323,571511935653.3446,10.943593048736885
138.917,216.341,571511935653.3752,11.039627615364296
138.801,216.359,13.972866284726818,11.039627615364296
138.685,216.378,13.972866284329458,10.89557120814063
138.569,216.396,13.972866284329458,10.89557120814063
138.452,216.414,91.0052556555702,10.89557120814063
138.336,216.432,571509906089.4863,10.943593048634671
138.22,216.45,571509906089.4524,11.039627615262102
138.104,216.468,16.74829098726548,11.13564387493098
137.987,216.487,16.748290987354103,11.11111111111111
137.871,216.505,16.748290987354103,11.11111111111111
137.754,216.523,7052574330299.144,11.11111111111111
137.637,216.541,91.00525563658604,11.1591123856095
137.521,216.559,16.74829098697004,11.1591123856095
137.404,216.578,14.20581133981143,10.986017164697946
137.287,216.596,14.20581133981143,10.986017164697946
137.17,216.614,465396047080.679,10.986017164697946
137.053,216.632,12.158289325186036,10.312659186417584
136.937,216.651,12.158289324809926,10.16350461718718
136.82,216.669,12.158289324809926,10.16350461718718
136.702,216.687,93.3135972854006,10.16350461718718
